2020-01-01	FOF200101000241	5TH ST & BROADWAY
2020-01-01	FOF200101000260	CLAREMONT AV & HUDSON ST
2020-01-02	FOF200102000291	860 77TH AV
2020-01-02	FOF200102000301	860 77TH AV
2020-01-02	FOF200102000331	E 10TH ST & 9TH AV
2020-01-02	FOF200102000349	27TH ST & MARTIN LUTHER KING JR WY
2020-01-02	FOF200102000392	107TH AV & RUSSETT ST
2020-01-02	FOF200102000536	6TH ST & JACKSON ST
2020-01-03	FOF200103000547	800 47TH AV
2020-01-03	FOF200103000617	DENNISON ST & EMBARCADERO
2020-01-03	FOF200103000779	5TH ST & WEBSTER ST
2020-01-05	FOF200105001231	47TH AV & SAN LEANDRO ST
2020-01-06	FOF200106001320	HIGH ST & MACARTHUR BLVD
2020-01-07	FOF200107001570	42ND AV & WATTLING ST
2020-01-07	FOF200107001634	50TH AV & SAN LEANDRO ST
2020-01-07	FOF200107001653	5TH ST & BROADWAY
2020-01-07	FOF200107001668	CASTRO ST & SAN PABLO AV
2020-01-07	FOF200107001806	9603 INTERNATIONAL BLVD
2020-01-07	FOF200107001808	5TH ST & KIRKHAM ST
2020-01-08	FOF200108001881	E 10TH ST & 2ND AV
2020-01-08	FOF200108001979	E 10TH ST & 2ND AV
2020-01-10	FOF200110002428	12TH ST & LAKE MERRITT BLVD
2020-01-10	FOF200110002523	SAN LEANDRO ST & SEMINARY AV
2020-01-10	FOF200110002573	34TH ST & HOLLIS ST
2020-01-11	FOF200111002896	NORTHGATE AV & SYCAMORE ST
2020-01-11	FOF200111002898	6TH ST & ALICE ST
2020-01-11	FOF200111002899	6TH ST & WEBSTER ST
2020-01-13	FOF200113003177	34TH ST & TELEGRAPH AV
2020-01-13	FOF200113003350	EB CLAREMONT OFFRP AV & EB S24
2020-01-14	FOF200114003399	30TH ST & MARTIN LUTHER KING JR WY
2020-01-15	FOF200115003744	6TH ST & WEBSTER ST
2020-01-15	FOF200115003818	3505 BROADWAY
2020-01-15	FOF200115003840	7TH ST & WEBSTER ST
2020-01-16	FOF200116003975	4TH ST & WEBSTER ST
2020-01-16	FOF200116004014	42ND AV & INTERNATIONAL BLVD
2020-01-16	FOF200116004035	7TH ST & WEBSTER ST
2020-01-17	FOF200117004388	6TH ST & WEBSTER ST
2020-01-18	FOF200118004605	2756 MARTIN LUTHER KING JR WY
2020-01-19	FOF200119004905	W GRAND AV & MARITIME ST
2020-01-19	FOF200119004915	W GRAND AV & MARITIME ST
2020-01-20	FOF200120004924	630 HIGH ST
2020-01-20	FOF200120005103	47TH AV & BANCROFT AV
2020-01-20	FOF200120005140	45TH AV & BANCROFT AV
2020-01-20	FOF200120005147	E 7TH ST & FRUITVALE AV
2020-01-21	FOF200121005256	HAWTHORNE AV & SUMMIT ST
2020-01-21	FOF200121005265	34TH ST & WEBSTER ST
2020-01-22	FOF200122005532	7TH ST & BRUSH ST
2020-01-23	FOF200123005831	W GRAND AV & MARTIN LUTHER KING JR WY
2020-01-23	FOF200123005832	W GRAND AV & MARTIN LUTHER KING JR WY
2020-01-23	FOF200123005867	37TH ST & MARTIN LUTHER KING JR WY
2020-01-23	FOF200123005963	171 8TH ST
2020-01-23	FOF200123005972	ALAMEDA AV & FRUITVALE AV
2020-01-24	FOF200124006046	7TH ST & KIRKHAM ST
2020-01-24	FOF200124006155	11143 ROBLEDO DR
2020-01-25	FOF200125006443	82ND AV & RUDSDALE ST
2020-01-25	FOF200125006498	E 8TH ST & E 9TH ST
2020-01-26	FOF200126006571	ROYAL ST & SAN LEANDRO ST
2020-01-26	FOF200126006638	12TH ST & LAKE MERRITT BLVD
2020-01-26	FOF200126006692	98TH AV & B ST
2020-01-27	FOF200127006848	66TH AV & SAN LEANDRO ST
2020-01-27	FOF200127006857	35TH ST & MARTIN LUTHER KING JR WY
2020-01-27	FOF200127006981	HARRISON ST & MACARTHUR BLVD
2020-01-28	FOF200128007006	54TH AV & SAN LEANDRO ST
2020-01-28	FOF200128007029	CLAREMONT AV & HUDSON ST
2020-01-28	FOF200128007070	11TH ST & BRUSH ST
2020-01-29	FOF200129007458	DENNISON ST & EMBARCADERO
2020-01-30	FOF200130007653	CASTRO ST & SAN PABLO AV
2020-01-31	FOF200131007871	12TH ST & BRUSH ST
2020-02-01	FOF200201008165	54TH AV & SAN LEANDRO ST
2020-02-01	FOF200201008216	34TH ST & TELEGRAPH AV
2020-02-01	FOF200201008227	25TH ST & NORTHGATE AV
2020-02-02	FOF200202008443	105TH AV & SAN LEANDRO ST
2020-02-03	FOF200203008644	8451 SAN LEANDRO ST
2020-02-04	FOF200204009033	54TH AV & SAN LEANDRO ST
2020-02-06	FOF200206009311	6TH ST & FRANKLIN ST
