"Encampment Fires_ January 1, 2020 to April 20 2021",,,
Incident Type Description,Address,Create Date Only,Event Number
ENCAMPMENT /OUTSIDE,HARRISON ST&MACARTHUR BLVD,"January, 27 2020",FOF200127006981
ENCAMPMENT /OUTSIDE,54TH AV&SAN LEANDRO ST,"January, 28 2020",FOF200128007006
ENCAMPMENT /OUTSIDE,CLAREMONT AV&HUDSON ST,"January, 28 2020",FOF200128007029
ENCAMPMENT /OUTSIDE,11TH ST&BRUSH ST,"January, 28 2020",FOF200128007070
ENCAMPMENT /OUTSIDE,DENNISON ST&EMBARCADERO,"January, 29 2020",FOF200129007458
ENCAMPMENT /OUTSIDE,CASTRO ST&SAN PABLO AV,"January, 30 2020",FOF200130007653
ENCAMPMENT /OUTSIDE,12TH ST&BRUSH ST,"January, 31 2020",FOF200131007871
ENCAMPMENT /OUTSIDE,54TH AV&SAN LEANDRO ST,"February, 1 2020",FOF200201008165
ENCAMPMENT /OUTSIDE,34TH ST&TELEGRAPH AV,"February, 1 2020",FOF200201008216
ENCAMPMENT /OUTSIDE,25TH ST&NORTHGATE AV,"February, 1 2020",FOF200201008227
ENCAMPMENT /OUTSIDE,105TH AV&SAN LEANDRO ST,"February, 2 2020",FOF200202008443
ENCAMPMENT /OUTSIDE,8451 SAN LEANDRO ST,"February, 3 2020",FOF200203008644
ENCAMPMENT /OUTSIDE,54TH AV&SAN LEANDRO ST,"February, 4 2020",FOF200204009033
ENCAMPMENT /OUTSIDE,6TH ST&FRANKLIN ST,"February, 6 2020",FOF200206009311
ENCAMPMENT /OUTSIDE,23RD ST&MARTIN LUTHER KING JR WY,"February, 7 2020",FOF200207009594
ENCAMPMENT /OUTSIDE,47TH AV&SAN LEANDRO ST,"February, 7 2020",FOF200207009807
ENCAMPMENT /OUTSIDE,66TH AV&COLISEUM WY,"February, 8 2020",FOF200208009823
ENCAMPMENT /OUTSIDE,600 HARRISON ST,"February, 8 2020",FOF200208009840
ENCAMPMENT /OUTSIDE,36TH ST&MARTIN LUTHER KING JR WY,"February, 8 2020",FOF200208009863
ENCAMPMENT /OUTSIDE,275 7TH ST,"February, 9 2020",FOF200209010347
ENCAMPMENT /OUTSIDE,NORTHGATE AV&SYCAMORE ST,"February, 10 2020",FOF200210010559
ENCAMPMENT /OUTSIDE,36TH ST&MARKET ST,"February, 10 2020",FOF200210010578
ENCAMPMENT /OUTSIDE,2100 EMBARCADERO,"February, 10 2020",FOF200210010622
ENCAMPMENT /OUTSIDE,1995 EMBARCADERO,"February, 11 2020",FOF200211010781
ENCAMPMENT /OUTSIDE,12TH ST&LAKE MERRITT BLVD,"February, 11 2020",FOF200211010787
ENCAMPMENT /OUTSIDE,34TH ST&WOOD ST,"February, 11 2020",FOF200211010953
ENCAMPMENT /OUTSIDE,5TH ST&BROADWAY,"February, 11 2020",FOF200211010975
ENCAMPMENT /OUTSIDE,3601 TELEGRAPH AV,"February, 12 2020",FOF200212011044
ENCAMPMENT /OUTSIDE,1925 BRUSH ST,"February, 12 2020",FOF200212011079
ENCAMPMENT /OUTSIDE,85TH AV&SAN LEANDRO ST,"February, 13 2020",FOF200213011296
ENCAMPMENT /OUTSIDE,DENNISON ST&EMBARCADERO,"February, 13 2020",FOF200213011450
ENCAMPMENT /OUTSIDE,2100 EMBARCADERO,"February, 13 2020",FOF200213011455
ENCAMPMENT /OUTSIDE,6TH ST&WEBSTER ST,"February, 17 2020",FOF200217012282
ENCAMPMENT /OUTSIDE,29TH ST&TELEGRAPH AV,"February, 17 2020",FOF200217012373
ENCAMPMENT /OUTSIDE,47TH AV&SAN LEANDRO ST,"February, 17 2020",FOF200217012451
ENCAMPMENT /OUTSIDE,7TH ST&BRUSH ST,"February, 17 2020",FOF200217012460
ENCAMPMENT /OUTSIDE,23RD ST&MARTIN LUTHER KING JR WY,"February, 18 2020",FOF200218012557
ENCAMPMENT /OUTSIDE,36TH ST&MARTIN LUTHER KING JR WY,"February, 18 2020",FOF200218012729
ENCAMPMENT /OUTSIDE,E 12TH ST&16TH AV,"February, 18 2020",FOF200218012761
ENCAMPMENT /OUTSIDE,34TH ST&TELEGRAPH AV,"February, 19 2020",FOF200219013043
ENCAMPMENT /OUTSIDE,ALAMEDA AV&HIGH ST,"February, 20 2020",FOF200220013291
ENCAMPMENT /OUTSIDE,34TH ST&TELEGRAPH AV,"February, 20 2020",FOF200220013329
ENCAMPMENT /OUTSIDE,23RD ST&BRUSH ST,"February, 21 2020",FOF200221013459
ENCAMPMENT /OUTSIDE,HOLLIS ST&W MACARTHUR BLVD,"February, 23 2020",FOF200223013966
ENCAMPMENT /OUTSIDE,7TH ST&BRUSH ST,"February, 24 2020",FOF200224014198
ENCAMPMENT /OUTSIDE,2000 DENNISON ST,"February, 24 2020",FOF200224014271
ENCAMPMENT /OUTSIDE,85TH AV&SAN LEANDRO ST,"February, 25 2020",FOF200225014406
ENCAMPMENT /OUTSIDE,900 FALLON ST,"February, 25 2020",FOF200225014578
ENCAMPMENT /OUTSIDE,7TH ST&BRUSH ST,"February, 25 2020",FOF200225014604
ENCAMPMENT /OUTSIDE,8511 SAN LEANDRO ST,"February, 26 2020",FOF200226014735
ENCAMPMENT /OUTSIDE,E 12TH ST&19TH AV,"February, 26 2020",FOF200226014747
ENCAMPMENT /OUTSIDE,85TH AV&SAN LEANDRO ST,"February, 26 2020",FOF200226014824
ENCAMPMENT /OUTSIDE,7TH ST&ALICE ST,"February, 26 2020",FOF200226014889
ENCAMPMENT /OUTSIDE,34TH ST&WEBSTER ST,"February, 28 2020",FOF200228015317
ENCAMPMENT /OUTSIDE,1577 BEACH ST,"February, 28 2020",FOF200228015356
ENCAMPMENT /OUTSIDE,ALAMEDA AV&FRUITVALE AV,"February, 28 2020",FOF200228015475
ENCAMPMENT /OUTSIDE,MARTIN LUTHER KING JR WY&SYCAMORE ST,"February, 29 2020",FOF200229015626
ENCAMPMENT /OUTSIDE,7TH ST&MARKET ST,"February, 29 2020",FOF200229015716
ENCAMPMENT /OUTSIDE,7TH ST&BRUSH ST,"March, 1 2020",FOF200301015826
ENCAMPMENT /OUTSIDE,7TH ST&BRUSH ST,"March, 1 2020",FOF200301015955
ENCAMPMENT /OUTSIDE,85TH AV&SAN LEANDRO ST,"March, 2 2020",FOF200302016009
ENCAMPMENT /OUTSIDE,29TH AV&SB I880,"March, 2 2020",FOF200302016039
ENCAMPMENT /OUTSIDE,SB 23RD OFFRP AV&SB I880,"March, 2 2020",FOF200302016044
ENCAMPMENT /OUTSIDE,E 12TH ST&19TH AV,"March, 4 2020",FOF200304016598
ENCAMPMENT /OUTSIDE,WB 12TH/14TH OFFRP ST&WB I980,"March, 4 2020",FOF200304016668
ENCAMPMENT /OUTSIDE,23RD ST&MARTIN LUTHER KING JR WY,"March, 4 2020",FOF200304016722
ENCAMPMENT /OUTSIDE,11TH ST&BRUSH ST,"March, 4 2020",FOF200304016725
ENCAMPMENT /OUTSIDE,GRAND AV&HARRISON ST,"March, 5 2020",FOF200305016857
ENCAMPMENT /OUTSIDE,GRAND AV&HARRISON ST,"March, 5 2020",FOF200305016858
ENCAMPMENT /OUTSIDE,6TH ST&WEBSTER ST,"March, 5 2020",FOF200305016877
ENCAMPMENT /OUTSIDE,6TH ST&ALICE ST,"March, 5 2020",FOF200305016893
ENCAMPMENT /OUTSIDE,136 E 12TH ST,"March, 5 2020",FOF200305017089
ENCAMPMENT /OUTSIDE,3250 LAKESHORE AV,"March, 6 2020",FOF200306017156
ENCAMPMENT /OUTSIDE,550 SYCAMORE ST,"March, 6 2020",FOF200306017235
ENCAMPMENT /OUTSIDE,E 17TH ST&62ND AV,"March, 7 2020",FOF200307017614
ENCAMPMENT /OUTSIDE,5TH ST&ADELINE ST,"March, 8 2020",FOF200308017783
ENCAMPMENT /OUTSIDE,NB I880&JACKSON ST,"March, 9 2020",FOF200309017913
ENCAMPMENT /OUTSIDE,11TH ST&PINE ST,"March, 10 2020",FOF200310018151
ENCAMPMENT /OUTSIDE,E 12TH ST&LAKE MERRITT BLVD,"March, 10 2020",FOF200310018262
ENCAMPMENT /OUTSIDE,50TH AV&SAN LEANDRO ST,"March, 10 2020",FOF200310018315
ENCAMPMENT /OUTSIDE,132 E 12TH ST,"March, 11 2020",FOF200311018549
ENCAMPMENT /OUTSIDE,7TH ST&BRUSH ST,"March, 11 2020",FOF200311018604
ENCAMPMENT /OUTSIDE,2020 BRUSH ST,"March, 12 2020",FOF200312018749
ENCAMPMENT /OUTSIDE,HIGH ST&NB I880,"March, 12 2020",FOF200312018770
ENCAMPMENT /OUTSIDE,66TH AV&NB I880,"March, 12 2020",FOF200312018839
ENCAMPMENT /OUTSIDE,34TH ST&MARTIN LUTHER KING JR WY,"March, 13 2020",FOF200313018944
ENCAMPMENT /OUTSIDE,5TH ST&JACKSON ST,"March, 14 2020",FOF200314019447
ENCAMPMENT /OUTSIDE,37TH ST&MARTIN LUTHER KING JR WY,"March, 15 2020",FOF200315019513
ENCAMPMENT /OUTSIDE,E 12TH ST&19TH AV,"March, 15 2020",FOF200315019637
ENCAMPMENT /OUTSIDE,11TH ST&BRUSH ST,"March, 15 2020",FOF200315019645
ENCAMPMENT /OUTSIDE,790 54TH AV,"March, 16 2020",FOF200316019883
ENCAMPMENT /OUTSIDE,24TH ST&UNION ST,"March, 16 2020",FOF200316019968
ENCAMPMENT /OUTSIDE,6TH ST&BROADWAY,"March, 17 2020",FOF200317020019
ENCAMPMENT /OUTSIDE,E 8TH ST&FRUITVALE AV,"March, 17 2020",FOF200317020048
ENCAMPMENT /OUTSIDE,6TH ST&ALICE ST,"March, 18 2020",FOF200318020276
ENCAMPMENT /OUTSIDE,575 INDEPENDENT RD,"March, 19 2020",FOF200319020549
ENCAMPMENT /OUTSIDE,E 12TH ST&1ST AV,"March, 19 2020",FOF200319020653
ENCAMPMENT /OUTSIDE,COLISEUM WY&NB HIGH OFFRP ST,"March, 20 2020",FOF200320020696
ENCAMPMENT /OUTSIDE,NORTHGATE AV&SYCAMORE ST,"March, 20 2020",FOF200320020803
ENCAMPMENT /OUTSIDE,6TH ST&MADISON ST,"March, 22 2020",FOF200322021276
ENCAMPMENT /OUTSIDE,7TH ST&HARRISON ST,"March, 23 2020",FOF200323021368
ENCAMPMENT /OUTSIDE,47TH AV&SAN LEANDRO ST,"March, 23 2020",FOF200323021459
ENCAMPMENT /OUTSIDE,COLISEUM WY&HIGH ST,"March, 24 2020",FOF200324021576
ENCAMPMENT /OUTSIDE,E 12TH ST&29TH AV,"March, 24 2020",FOF200324021595
ENCAMPMENT /OUTSIDE,E 12TH ST&22ND AV,"March, 25 2020",FOF200325021800
ENCAMPMENT /OUTSIDE,E 12TH ST&23RD AV,"March, 25 2020",FOF200325021841
ENCAMPMENT /OUTSIDE,E 12TH ST&19TH AV,"March, 25 2020",FOF200325021847
ENCAMPMENT /OUTSIDE,6TH ST&JACKSON ST,"March, 25 2020",FOF200325022011
ENCAMPMENT /OUTSIDE,200 105TH AV,"March, 26 2020",FOF200326022095
ENCAMPMENT /OUTSIDE,34TH ST&SAN PABLO AV,"March, 26 2020",FOF200326022200
ENCAMPMENT /OUTSIDE,7TH ST&BRUSH ST,"March, 27 2020",FOF200327022395
ENCAMPMENT /OUTSIDE,GRAND AV&HARRISON ST,"March, 27 2020",FOF200327022415
ENCAMPMENT /OUTSIDE,7200 SAN LEANDRO ST,"March, 27 2020",FOF200327022436
ENCAMPMENT /OUTSIDE,E 12TH ST&26TH AV,"March, 27 2020",FOF200327022459
ENCAMPMENT /OUTSIDE,37TH ST&MARTIN LUTHER KING JR WY,"March, 28 2020",FOF200328022608
ENCAMPMENT /OUTSIDE,1710 E 12TH ST,"March, 28 2020",FOF200328022677
ENCAMPMENT /OUTSIDE,5TH ST&BROADWAY,"March, 28 2020",FOF200328022701
ENCAMPMENT /OUTSIDE,34TH ST&TELEGRAPH AV,"March, 29 2020",FOF200329022863
ENCAMPMENT /OUTSIDE,W GRAND AV&MARTIN LUTHER KING JR WY,"March, 30 2020",FOF200330022939
ENCAMPMENT /OUTSIDE,24TH ST&MARTIN LUTHER KING JR WY,"March, 30 2020",FOF200330022968
ENCAMPMENT /OUTSIDE,8451 SAN LEANDRO ST,"March, 31 2020",FOF200331023325
ENCAMPMENT /OUTSIDE,E 12TH ST&19TH AV,"April, 1 2020",FOF200401023402
ENCAMPMENT /OUTSIDE,E 12TH ST&19TH AV,"April, 2 2020",FOF200402023834
ENCAMPMENT /OUTSIDE,E 12TH ST&19TH AV,"April, 3 2020",FOF200403023979
ENCAMPMENT /OUTSIDE,HOLLIS ST&W MACARTHUR BLVD,"April, 3 2020",FOF200403024051
ENCAMPMENT /OUTSIDE,37TH AV&E 9TH ST,"April, 4 2020",FOF200404024210
ENCAMPMENT /OUTSIDE,44TH ST&MARTIN LUTHER KING JR WY,"April, 8 2020",FOF200408025053
ENCAMPMENT /OUTSIDE,25TH ST&NORTHGATE AV,"April, 9 2020",FOF200409025212
ENCAMPMENT /OUTSIDE,11TH ST&BRUSH ST,"April, 9 2020",FOF200409025249
ENCAMPMENT /OUTSIDE,11TH ST&BRUSH ST,"April, 10 2020",FOF200410025523
ENCAMPMENT /OUTSIDE,E 12TH ST&18TH AV,"April, 11 2020",FOF200411025695
ENCAMPMENT /OUTSIDE,1801 14TH ST,"April, 12 2020",FOF200412025818
ENCAMPMENT /OUTSIDE,34TH ST&WOOD ST,"April, 13 2020",FOF200413026103
ENCAMPMENT /OUTSIDE,COOLIDGE AV&EB I580,"April, 15 2020",FOF200415026665
ENCAMPMENT /OUTSIDE,36TH ST&WEBSTER ST,"April, 16 2020",FOF200416026798
ENCAMPMENT /OUTSIDE,5TH ST&NB I880,"April, 17 2020",FOF200417026925
ENCAMPMENT /OUTSIDE,1900 E 12TH ST,"April, 19 2020",FOF200419027450
ENCAMPMENT /OUTSIDE,4701 SAN LEANDRO ST,"April, 19 2020",FOF200419027484
ENCAMPMENT /OUTSIDE,3600 MARTIN LUTHER KING JR WY,"April, 21 2020",FOF200421027868
ENCAMPMENT /OUTSIDE,51ST ST&MARTIN LUTHER KING JR WY,"April, 24 2020",FOF200424028470
ENCAMPMENT /OUTSIDE,3400 TELEGRAPH AV,"April, 24 2020",FOF200424028499
ENCAMPMENT /OUTSIDE,E 12TH ST&1ST AV,"April, 24 2020",FOF200424028549
ENCAMPMENT /OUTSIDE,98TH AV&B ST,"April, 24 2020",FOF200424028646
ENCAMPMENT /OUTSIDE,17TH ST&WOOD ST,"April, 25 2020",FOF200425028751
ENCAMPMENT /OUTSIDE,34TH ST&TELEGRAPH AV,"April, 25 2020",FOF200425028752
ENCAMPMENT /OUTSIDE,12TH ST&UNION ST,"April, 25 2020",FOF200425028802
