"Encampment Fires_ January 1, 2020 to April 20 2021",,,
Incident Type Description,Address,Create Date Only,Event Number
ENCAMPMENT /OUTSIDE,36TH ST&MARTIN LUTHER KING JR WY,"June, 24 2020",FOF200624043222
ENCAMPMENT /OUTSIDE,W GRAND AV&WOOD ST,"June, 24 2020",FOF200624043300
ENCAMPMENT /OUTSIDE,35TH ST&MARTIN LUTHER KING JR WY,"June, 25 2020",FOF200625043467
ENCAMPMENT /OUTSIDE,LAKE PARK AV&LAKESHORE AV,"June, 26 2020",FOF200626043592
ENCAMPMENT /OUTSIDE,14TH ST&FILBERT ST,"June, 26 2020",FOF200626043669
ENCAMPMENT /OUTSIDE,35TH AV&EB I580,"June, 26 2020",FOF200626043760
ENCAMPMENT /OUTSIDE,3400 TELEGRAPH AV,"June, 27 2020",FOF200627043856
ENCAMPMENT /OUTSIDE,8255 SAN LEANDRO ST,"June, 27 2020",FOF200627043917
ENCAMPMENT /OUTSIDE,38TH ST&MANILA AV,"June, 27 2020",FOF200627044022
ENCAMPMENT /OUTSIDE,20TH ST&WOOD ST,"June, 28 2020",FOF200628044239
ENCAMPMENT /OUTSIDE,7TH ST&CASTRO ST,"June, 28 2020",FOF200628044277
ENCAMPMENT /OUTSIDE,23RD AV&SB I880,"June, 29 2020",FOF200629044467
ENCAMPMENT /OUTSIDE,E 12TH ST&16TH AV,"June, 29 2020",FOF200629044567
ENCAMPMENT /OUTSIDE,BRUSH ST&W GRAND AV,"June, 30 2020",FOF200630044586
ENCAMPMENT /OUTSIDE,34TH ST&BEACH ST,"June, 30 2020",FOF200630044623
ENCAMPMENT /OUTSIDE,E 10TH ST&2ND AV,"July, 1 2020",FOF200701044830
ENCAMPMENT /OUTSIDE,3600 ALAMEDA AV,"July, 3 2020",FOF200703045407
ENCAMPMENT /OUTSIDE,E 12TH ST&19TH AV,"July, 3 2020",FOF200703045450
ENCAMPMENT /OUTSIDE,18TH ST&WOOD ST,"July, 4 2020",FOF200704045585
ENCAMPMENT /OUTSIDE,20TH ST&CAMPBELL ST,"July, 4 2020",FOF200704045599
ENCAMPMENT /OUTSIDE,3600 E 9TH ST,"July, 4 2020",FOF200704045621
ENCAMPMENT /OUTSIDE,E 12TH ST&9TH AV,"July, 5 2020",FOF200705045955
ENCAMPMENT /OUTSIDE,GRAND AV&MACARTHUR BLVD,"July, 5 2020",FOF200705046037
ENCAMPMENT /OUTSIDE,2301 EMBARCADERO,"July, 5 2020",FOF200705046083
ENCAMPMENT /OUTSIDE,34TH ST&WOOD ST,"July, 5 2020",FOF200705046182
ENCAMPMENT /OUTSIDE,6TH ST&WEBSTER ST,"July, 6 2020",FOF200706046216
ENCAMPMENT /OUTSIDE,29TH ST&MARTIN LUTHER KING JR WY,"July, 6 2020",FOF200706046219
ENCAMPMENT /OUTSIDE,900 40TH AV,"July, 6 2020",FOF200706046458
ENCAMPMENT /OUTSIDE,E 12TH ST&LAKE MERRITT BLVD,"July, 7 2020",FOF200707046499
ENCAMPMENT /OUTSIDE,23RD ST&NORTHGATE AV,"July, 8 2020",FOF200708046727
ENCAMPMENT /OUTSIDE,E 12TH ST&14TH AV,"July, 8 2020",FOF200708046865
ENCAMPMENT /OUTSIDE,E 12TH ST&14TH AV,"July, 8 2020",FOF200708046874
ENCAMPMENT /OUTSIDE,34TH ST&TELEGRAPH AV,"July, 8 2020",FOF200708046954
ENCAMPMENT /OUTSIDE,7TH ST&BRUSH ST,"July, 9 2020",FOF200709047070
ENCAMPMENT /OUTSIDE,E 12TH ST&26TH AV,"July, 9 2020",FOF200709047192
ENCAMPMENT /OUTSIDE,38TH ST&MANILA AV,"July, 9 2020",FOF200709047197
ENCAMPMENT /OUTSIDE,89TH AV&INTERNATIONAL BLVD,"July, 10 2020",FOF200710047243
ENCAMPMENT /OUTSIDE,NORTHGATE AV&SYCAMORE ST,"July, 10 2020",FOF200710047267
ENCAMPMENT /OUTSIDE,29TH ST&TELEGRAPH AV,"July, 10 2020",FOF200710047298
ENCAMPMENT /OUTSIDE,NORTHGATE AV&SYCAMORE ST,"July, 10 2020",FOF200710047389
ENCAMPMENT /OUTSIDE,24TH ST&UNION ST,"July, 11 2020",FOF200711047495
ENCAMPMENT /OUTSIDE,E 12TH ST&19TH AV,"July, 11 2020",FOF200711047496
ENCAMPMENT /OUTSIDE,37TH ST&W MACARTHUR BLVD,"July, 12 2020",FOF200712047803
ENCAMPMENT /OUTSIDE,7200 SAN LEANDRO ST,"July, 12 2020",FOF200712047898
ENCAMPMENT /OUTSIDE,24TH ST&WOOD ST,"July, 14 2020",FOF200714048162
ENCAMPMENT /OUTSIDE,12TH AV&INTERNATIONAL BLVD,"July, 14 2020",FOF200714048284
ENCAMPMENT /OUTSIDE,29TH ST&TELEGRAPH AV,"July, 16 2020",FOF200716048626
ENCAMPMENT /OUTSIDE,30TH ST&MARTIN LUTHER KING JR WY,"July, 16 2020",FOF200716048743
ENCAMPMENT /OUTSIDE,1900 E 12TH ST,"July, 17 2020",FOF200717048788
ENCAMPMENT /OUTSIDE,2020 WAKE AV,"July, 19 2020",FOF200719049288
ENCAMPMENT /OUTSIDE,E 12TH ST&16TH AV,"July, 19 2020",FOF200719049304
ENCAMPMENT /OUTSIDE,3775 ALAMEDA AV,"July, 20 2020",FOF200720049537
ENCAMPMENT /OUTSIDE,6TH ST&BRUSH ST,"July, 20 2020",FOF200720049687
ENCAMPMENT /OUTSIDE,73RD AV&KRAUSE AV,"July, 22 2020",FOF200722049935
ENCAMPMENT /OUTSIDE,DENNISON ST&EMBARCADERO,"July, 22 2020",FOF200722049970
ENCAMPMENT /OUTSIDE,12TH ST&FALLON ST,"July, 22 2020",FOF200722050154
ENCAMPMENT /OUTSIDE,MACARTHUR BLVD&OAKLAND AV,"July, 22 2020",FOF200722050200
ENCAMPMENT /OUTSIDE,10TH ST&CASTRO ST,"July, 23 2020",FOF200723050417
ENCAMPMENT /OUTSIDE,5TH ST&KIRKHAM ST,"July, 24 2020",FOF200724050481
ENCAMPMENT /OUTSIDE,6TH ST&WEBSTER ST,"July, 24 2020",FOF200724050582
ENCAMPMENT /OUTSIDE,25TH ST&MARTIN LUTHER KING JR WY,"July, 25 2020",FOF200725050759
ENCAMPMENT /OUTSIDE,1078 60TH ST,"July, 26 2020",FOF200726051049
ENCAMPMENT /OUTSIDE,107TH AV&PEARMAIN ST,"July, 26 2020",FOF200726051064
ENCAMPMENT /OUTSIDE,105TH AV&EDES AV,"July, 27 2020",FOF200727051416
ENCAMPMENT /OUTSIDE,800 47TH AV,"July, 28 2020",FOF200728051490
ENCAMPMENT /OUTSIDE,EB 51ST OFFRP ST&EB MLK JR OFFRP WY,"July, 28 2020",FOF200728051525
ENCAMPMENT /OUTSIDE,HARRISON ST&MACARTHUR BLVD,"July, 28 2020",FOF200728051627
ENCAMPMENT /OUTSIDE,66 MACARTHUR BLVD,"July, 28 2020",FOF200728051655
ENCAMPMENT /OUTSIDE,36TH ST&TELEGRAPH AV,"July, 29 2020",FOF200729051956
ENCAMPMENT /OUTSIDE,42ND AV&INTERNATIONAL BLVD,"July, 30 2020",FOF200730052036
ENCAMPMENT /OUTSIDE,3439 ANDOVER ST,"July, 30 2020",FOF200730052083
ENCAMPMENT /OUTSIDE,34TH ST&ANDOVER ST,"July, 30 2020",FOF200730052167
ENCAMPMENT /OUTSIDE,19TH ST&BRUSH ST,"July, 31 2020",FOF200731052271
ENCAMPMENT /OUTSIDE,1538 E 12TH ST,"July, 31 2020",FOF200731052410
ENCAMPMENT /OUTSIDE,CLAREMONT AV&HUDSON ST,"August, 2 2020",FOF200802052793
ENCAMPMENT /OUTSIDE,7TH ST&KIRKHAM ST,"August, 2 2020",FOF200802052801
ENCAMPMENT /OUTSIDE,766 MOORPARK AV,"August, 3 2020",FOF200803053136
ENCAMPMENT /OUTSIDE,34TH ST&WOOD ST,"August, 4 2020",FOF200804053272
ENCAMPMENT /OUTSIDE,36TH ST&MARTIN LUTHER KING JR WY,"August, 4 2020",FOF200804053311
ENCAMPMENT /OUTSIDE,NORTHGATE AV&SYCAMORE ST,"August, 5 2020",FOF200805053401
ENCAMPMENT /OUTSIDE,1201 41ST AV,"August, 6 2020",FOF200806053829
ENCAMPMENT /OUTSIDE,11TH AV&E 8TH ST,"August, 7 2020",FOF200807053879
ENCAMPMENT /OUTSIDE,E 12TH ST&16TH AV,"August, 7 2020",FOF200807053975
ENCAMPMENT /OUTSIDE,25TH ST&NORTHGATE AV,"August, 7 2020",FOF200807053985
ENCAMPMENT /OUTSIDE,20TH ST&WOOD ST,"August, 8 2020",FOF200808054372
ENCAMPMENT /OUTSIDE,27TH ST&NORTHGATE AV,"August, 10 2020",FOF200810054735
ENCAMPMENT /OUTSIDE,75TH AV&SAN LEANDRO ST,"August, 10 2020",FOF200810054792
ENCAMPMENT /OUTSIDE,34TH ST&WEST ST,"August, 10 2020",FOF200810054846
ENCAMPMENT /OUTSIDE,E 12TH ST&17TH AV,"August, 10 2020",FOF200810054848
ENCAMPMENT /OUTSIDE,10 10TH ST,"August, 12 2020",FOF200812055297
ENCAMPMENT /OUTSIDE,3601 TELEGRAPH AV,"August, 14 2020",FOF200814055648
ENCAMPMENT /OUTSIDE,26TH ST&WOOD ST,"August, 14 2020",FOF200814055814
ENCAMPMENT /OUTSIDE,27TH ST&SAN PABLO AV,"August, 15 2020",FOF200815055996
ENCAMPMENT /OUTSIDE,NORTHGATE AV&SYCAMORE ST,"August, 15 2020",FOF200815056081
ENCAMPMENT /OUTSIDE,E 12TH ST&13TH AV,"August, 15 2020",FOF200815056204
ENCAMPMENT /OUTSIDE,EB I580&WEBSTER ST,"August, 17 2020",FOF200817056651
ENCAMPMENT /OUTSIDE,750 HIGH ST,"August, 17 2020",FOF200817056655
ENCAMPMENT /OUTSIDE,3775 ALAMEDA AV,"August, 17 2020",FOF200817056725
ENCAMPMENT /OUTSIDE,LESSER ST&OAKPORT ST,"August, 18 2020",FOF200818056786
ENCAMPMENT /OUTSIDE,81ST AV&SAN LEANDRO ST,"August, 18 2020",FOF200818056838
ENCAMPMENT /OUTSIDE,ALAMEDA AV&FRUITVALE AV,"August, 20 2020",FOF200820057595
ENCAMPMENT /OUTSIDE,18TH ST&WOOD ST,"August, 21 2020",FOF200821057789
ENCAMPMENT /OUTSIDE,E 12TH ST&HIGH ST,"August, 22 2020",FOF200822057959
ENCAMPMENT /OUTSIDE,36TH ST&MARTIN LUTHER KING JR WY,"August, 22 2020",FOF200822058003
ENCAMPMENT /OUTSIDE,54TH ST&SHATTUCK AV,"August, 23 2020",FOF200823058203
ENCAMPMENT /OUTSIDE,E 12TH ST&31ST AV,"August, 23 2020",FOF200823058209
ENCAMPMENT /OUTSIDE,E 12TH ST&20TH AV,"August, 23 2020",FOF200823058307
ENCAMPMENT /OUTSIDE,E 12TH ST&20TH AV,"August, 23 2020",FOF200823058340
ENCAMPMENT /OUTSIDE,8TH ST&VIRGINIA ST,"August, 24 2020",FOF200824058480
ENCAMPMENT /OUTSIDE,10058 EMPIRE RD,"August, 26 2020",FOF200826058991
ENCAMPMENT /OUTSIDE,400 LANCASTER ST,"August, 26 2020",FOF200826058998
ENCAMPMENT /OUTSIDE,11TH AV&E 12TH ST,"August, 28 2020",FOF200828059450
ENCAMPMENT /OUTSIDE,250 VICTORY CT,"August, 28 2020",FOF200828059471
ENCAMPMENT /OUTSIDE,34TH ST&TELEGRAPH AV,"August, 28 2020",FOF200828059477
ENCAMPMENT /OUTSIDE,550 E 12TH ST,"August, 28 2020",FOF200828059582
ENCAMPMENT /OUTSIDE,34TH ST&ANDOVER ST,"August, 29 2020",FOF200829059767
ENCAMPMENT /OUTSIDE,E 12TH ST&19TH AV,"August, 30 2020",FOF200830060014
ENCAMPMENT /OUTSIDE,GRAND AV&HARRISON ST,"August, 31 2020",FOF200831060374
ENCAMPMENT /OUTSIDE,E 12TH ST&20TH AV,"August, 31 2020",FOF200831060432
ENCAMPMENT /OUTSIDE,75TH AV&SAN LEANDRO ST,"September, 1 2020",FOF200901060556
ENCAMPMENT /OUTSIDE,34TH ST&TELEGRAPH AV,"September, 2 2020",FOF200902060920
ENCAMPMENT /OUTSIDE,34TH ST&BROADWAY,"September, 5 2020",FOF200905061693
ENCAMPMENT /OUTSIDE,34TH ST&ANDOVER ST,"September, 7 2020",FOF200907062277
ENCAMPMENT /OUTSIDE,34TH ST&ELM ST,"September, 8 2020",FOF200908062553
ENCAMPMENT /OUTSIDE,7TH ST&BRUSH ST,"September, 8 2020",FOF200908062601
ENCAMPMENT /OUTSIDE,7TH ST&BRUSH ST,"September, 9 2020",FOF200909062751
ENCAMPMENT /OUTSIDE,430 HALE AV,"September, 9 2020",FOF200909062786
ENCAMPMENT /OUTSIDE,400 105TH AV,"September, 9 2020",FOF200909062792
ENCAMPMENT /OUTSIDE,14TH ST&MANDELA PKWY,"September, 10 2020",FOF200910062884
ENCAMPMENT /OUTSIDE,34TH ST&PERALTA ST,"September, 10 2020",FOF200910063045
ENCAMPMENT /OUTSIDE,24TH ST&MARTIN LUTHER KING JR WY,"September, 11 2020",FOF200911063095
ENCAMPMENT /OUTSIDE,HEGENBERGER RD&SAN LEANDRO ST,"September, 13 2020",FOF200913063565
ENCAMPMENT /OUTSIDE,800 77TH AV,"September, 13 2020",FOF200913063574
ENCAMPMENT /OUTSIDE,E 12TH ST&20TH AV,"September, 13 2020",FOF200913063585
ENCAMPMENT /OUTSIDE,EB I580&WEBSTER ST,"September, 14 2020",FOF200914063806
ENCAMPMENT /OUTSIDE,WB I580&EB I980 CONN,"September, 14 2020",FOF200914063808
ENCAMPMENT /OUTSIDE,E 12TH ST&19TH AV,"September, 14 2020",FOF200914063989
ENCAMPMENT /OUTSIDE,FOOTHILL BLVD&LAKESHORE AV,"September, 15 2020",FOF200915064076
ENCAMPMENT /OUTSIDE,34TH ST&TELEGRAPH AV,"September, 16 2020",FOF200916064350
ENCAMPMENT /OUTSIDE,1330 LAKESHORE AV,"September, 16 2020",FOF200916064464
ENCAMPMENT /OUTSIDE,DENNISON ST&EMBARCADERO,"September, 16 2020",FOF200916064496
ENCAMPMENT /OUTSIDE,34TH ST&ANDOVER ST,"September, 17 2020",FOF200917064650
ENCAMPMENT /OUTSIDE,W GRAND AV&WOOD ST,"September, 18 2020",FOF200918064858
ENCAMPMENT /OUTSIDE,18TH ST&WOOD ST,"September, 19 2020",FOF200919065163
ENCAMPMENT /OUTSIDE,5TH AV&EMBARCADERO,"September, 21 2020",FOF200921065609
ENCAMPMENT /OUTSIDE,50TH AV&SAN LEANDRO ST,"September, 21 2020",FOF200921065657
ENCAMPMENT /OUTSIDE,545 32ND ST,"September, 22 2020",FOF200922065938
ENCAMPMENT /OUTSIDE,51ST ST&MARTIN LUTHER KING JR WY,"September, 22 2020",FOF200922065940
ENCAMPMENT /OUTSIDE,36TH ST&TELEGRAPH AV,"September, 23 2020",FOF200923066178
ENCAMPMENT /OUTSIDE,6TH ST&WEBSTER ST,"September, 24 2020",FOF200924066361
ENCAMPMENT /OUTSIDE,26TH ST&WILLOW ST,"September, 24 2020",FOF200924066540
ENCAMPMENT /OUTSIDE,E 12TH ST&16TH AV,"September, 24 2020",FOF200924066565
ENCAMPMENT /OUTSIDE,25TH ST&NORTHGATE AV,"September, 25 2020",FOF200925066627
ENCAMPMENT /OUTSIDE,NORTHGATE AV&SYCAMORE ST,"September, 26 2020",FOF200926067052
ENCAMPMENT /OUTSIDE,66TH AV&SAN LEANDRO ST,"September, 27 2020",FOF200927067117
ENCAMPMENT /OUTSIDE,E 12TH ST&LAKE MERRITT BLVD,"September, 27 2020",FOF200927067225
ENCAMPMENT /OUTSIDE,77TH AV&SAN LEANDRO ST,"September, 28 2020",FOF200928067436
ENCAMPMENT /OUTSIDE,3407 E 8TH ST,"September, 28 2020",FOF200928067581
ENCAMPMENT /OUTSIDE,5TH ST&MARKET ST,"September, 28 2020",FOF200928067649
ENCAMPMENT /OUTSIDE,E 12TH ST&16TH AV,"September, 29 2020",FOF200929067761
ENCAMPMENT /OUTSIDE,655 INTERNATIONAL BLVD,"September, 29 2020",FOF200929067816
ENCAMPMENT /OUTSIDE,4TH ST&BRUSH ST,"September, 29 2020",FOF200929067819
ENCAMPMENT /OUTSIDE,34TH ST&ELM ST,"September, 29 2020",FOF200929067892
ENCAMPMENT /OUTSIDE,8451 SAN LEANDRO ST,"September, 30 2020",FOF200930067973
ENCAMPMENT /OUTSIDE,49TH AV&SAN LEANDRO ST,"September, 30 2020",FOF200930068113
ENCAMPMENT /OUTSIDE,34TH ST&ELM ST,"September, 30 2020",FOF200930068168
ENCAMPMENT /OUTSIDE,955 7TH ST,"October, 1 2020",FOF201001068221
ENCAMPMENT /OUTSIDE,66TH AV&SAN LEANDRO ST,"October, 2 2020",FOF201002068663
ENCAMPMENT /OUTSIDE,7TH ST&BRUSH ST,"October, 3 2020",FOF201003068792
ENCAMPMENT /OUTSIDE,16TH ST&WOOD ST,"October, 4 2020",FOF201004069125
ENCAMPMENT /OUTSIDE,47TH AV&SAN LEANDRO ST,"October, 4 2020",FOF201004069209
ENCAMPMENT /OUTSIDE,34TH ST&ELM ST,"October, 6 2020",FOF201006069585
ENCAMPMENT /OUTSIDE,84TH AV&INTERNATIONAL BLVD,"October, 7 2020",FOF201007069644
ENCAMPMENT /OUTSIDE,553 34TH ST,"October, 7 2020",FOF201007069746
ENCAMPMENT /OUTSIDE,7TH ST&BRUSH ST,"October, 7 2020",FOF201007069810
ENCAMPMENT /OUTSIDE,45TH ST&TELEGRAPH AV,"October, 8 2020",FOF201008069901
ENCAMPMENT /OUTSIDE,34TH ST&PERALTA ST,"October, 8 2020",FOF201008069960
ENCAMPMENT /OUTSIDE,E 11TH ST&2ND AV,"October, 8 2020",FOF201008069973
ENCAMPMENT /OUTSIDE,45TH ST&MARTIN LUTHER KING JR WY,"October, 9 2020",FOF201009070092
ENCAMPMENT /OUTSIDE,900 FALLON ST,"October, 9 2020",FOF201009070178
ENCAMPMENT /OUTSIDE,E 12TH ST&22ND AV,"October, 9 2020",FOF201009070189
ENCAMPMENT /OUTSIDE,6TH ST&WEBSTER ST,"October, 9 2020",FOF201009070228
ENCAMPMENT /OUTSIDE,BROADWAY&EB I580,"October, 11 2020",FOF201011070600
ENCAMPMENT /OUTSIDE,GRAND AV&HARRISON ST,"October, 11 2020",FOF201011070650
ENCAMPMENT /OUTSIDE,GRAND AV&HARRISON ST,"October, 11 2020",FOF201011070651
ENCAMPMENT /OUTSIDE,34TH ST&PERALTA ST,"October, 13 2020",FOF201013071112
ENCAMPMENT /OUTSIDE,6TH ST&MARKET ST,"October, 13 2020",FOF201013071183
ENCAMPMENT /OUTSIDE,42ND AV&INTERNATIONAL BLVD,"October, 14 2020",FOF201014071270
ENCAMPMENT /OUTSIDE,34TH ST&ELM ST,"October, 14 2020",FOF201014071286
ENCAMPMENT /OUTSIDE,HOLLIS ST&W MACARTHUR BLVD,"October, 14 2020",FOF201014071467
ENCAMPMENT /OUTSIDE,34TH ST&ANDOVER ST,"October, 15 2020",FOF201015071534
ENCAMPMENT /OUTSIDE,250 FRANK H OGAWA PLZ,"October, 16 2020",FOF201016071770
ENCAMPMENT /OUTSIDE,6TH ST&MARKET ST,"October, 19 2020",FOF201019072565
ENCAMPMENT /OUTSIDE,ADELINE ST&SB I880,"October, 21 2020",FOF201021073008
ENCAMPMENT /OUTSIDE,32ND ST&WOOD ST,"October, 21 2020",FOF201021073046
ENCAMPMENT /OUTSIDE,23RD ST&MARTIN LUTHER KING JR WY,"October, 21 2020",FOF201021073203
ENCAMPMENT /OUTSIDE,36TH ST&TELEGRAPH AV,"October, 21 2020",FOF201021073248
ENCAMPMENT /OUTSIDE,E 12TH ST&5TH AV,"October, 23 2020",FOF201023073535
ENCAMPMENT /OUTSIDE,E 12TH ST&16TH AV,"October, 23 2020",FOF201023073536
ENCAMPMENT /OUTSIDE,52ND ST&MARTIN LUTHER KING JR WY,"October, 23 2020",FOF201023073716
ENCAMPMENT /OUTSIDE,14TH ST&CASTRO ST,"October, 25 2020",FOF201025074070
ENCAMPMENT /OUTSIDE,29TH ST&TELEGRAPH AV,"October, 26 2020",FOF201026074254
ENCAMPMENT /OUTSIDE,1ST AV&LAKESHORE AV,"October, 27 2020",FOF201027074636
ENCAMPMENT /OUTSIDE,6TH ST&JEFFERSON ST,"October, 27 2020",FOF201027074644
ENCAMPMENT /OUTSIDE,GRAND AV&HARRISON ST,"October, 28 2020",FOF201028074759
ENCAMPMENT /OUTSIDE,2301 EMBARCADERO,"October, 28 2020",FOF201028074765
ENCAMPMENT /OUTSIDE,W GRAND AV&MARTIN LUTHER KING JR WY,"October, 29 2020",FOF201029075137
ENCAMPMENT /OUTSIDE,1600 E 12TH ST,"October, 31 2020",FOF201031075458
ENCAMPMENT /OUTSIDE,16TH AV&INTERNATIONAL BLVD,"October, 31 2020",FOF201031075502
ENCAMPMENT /OUTSIDE,38TH ST&MANILA AV,"November, 2 2020",FOF201102076144
ENCAMPMENT /OUTSIDE,E 12TH ST&19TH AV,"November, 2 2020",FOF201102076148
ENCAMPMENT /OUTSIDE,E 12TH ST&19TH AV,"November, 4 2020",FOF201104076411
ENCAMPMENT /OUTSIDE,32ND ST&WOOD ST,"November, 6 2020",FOF201106076904
ENCAMPMENT /OUTSIDE,E 12TH ST&LAKE MERRITT BLVD,"November, 7 2020",FOF201107077084
ENCAMPMENT /OUTSIDE,BROOKDALE AV&COURTLAND AV,"November, 8 2020",FOF201108077350
ENCAMPMENT /OUTSIDE,19TH AV&INTERNATIONAL BLVD,"November, 8 2020",FOF201108077451
ENCAMPMENT /OUTSIDE,1200 LAKESHORE AV,"November, 8 2020",FOF201108077452
ENCAMPMENT /OUTSIDE,34TH ST&ELM ST,"November, 9 2020",FOF201109077543
ENCAMPMENT /OUTSIDE,7TH ST&BRUSH ST,"November, 9 2020",FOF201109077582
ENCAMPMENT /OUTSIDE,7TH ST&BRUSH ST,"November, 9 2020",FOF201109077584
ENCAMPMENT /OUTSIDE,51ST AV&SAN LEANDRO ST,"November, 9 2020",FOF201109077749
ENCAMPMENT /OUTSIDE,E 12TH ST&23RD AV,"November, 10 2020",FOF201110077844
ENCAMPMENT /OUTSIDE,4701 SAN LEANDRO ST,"November, 10 2020",FOF201110077983
ENCAMPMENT /OUTSIDE,NORTHGATE AV&SYCAMORE ST,"November, 11 2020",FOF201111078062
ENCAMPMENT /OUTSIDE,GRAND AV&HARRISON ST,"November, 11 2020",FOF201111078101
ENCAMPMENT /OUTSIDE,7TH ST&BRUSH ST,"November, 11 2020",FOF201111078139
ENCAMPMENT /OUTSIDE,7TH ST&BRUSH ST,"November, 11 2020",FOF201111078140
ENCAMPMENT /OUTSIDE,E 12TH ST&29TH AV,"November, 11 2020",FOF201111078202
ENCAMPMENT /OUTSIDE,E 12TH ST&22ND AV,"November, 12 2020",FOF201112078441
ENCAMPMENT /OUTSIDE,5TH ST&OAK ST,"November, 13 2020",FOF201113078550
ENCAMPMENT /OUTSIDE,7TH ST&MARKET ST,"November, 13 2020",FOF201113078612
ENCAMPMENT /OUTSIDE,1995 EMBARCADERO,"November, 13 2020",FOF201113078614
ENCAMPMENT /OUTSIDE,18TH ST&CASTRO ST,"November, 14 2020",FOF201114078825
ENCAMPMENT /OUTSIDE,6TH ST&FRANKLIN ST,"November, 14 2020",FOF201114078876
ENCAMPMENT /OUTSIDE,69TH AV&SAN LEANDRO ST,"November, 14 2020",FOF201114078889
ENCAMPMENT /OUTSIDE,1112 29TH AV,"November, 16 2020",FOF201116079261
ENCAMPMENT /OUTSIDE,55 SANTA CLARA AV,"November, 16 2020",FOF201116079285
ENCAMPMENT /OUTSIDE,601 WEBSTER ST,"November, 17 2020",FOF201117079426
ENCAMPMENT /OUTSIDE,40TH ST&MANILA AV,"November, 17 2020",FOF201117079526
ENCAMPMENT /OUTSIDE,37TH AV&E 9TH ST,"November, 17 2020",FOF201117079577
ENCAMPMENT /OUTSIDE,E 12TH ST&20TH AV,"November, 17 2020",FOF201117079608
ENCAMPMENT /OUTSIDE,7TH ST&BRUSH ST,"November, 17 2020",FOF201117079648
ENCAMPMENT /OUTSIDE,7TH ST&BRUSH ST,"November, 17 2020",FOF201117079650
ENCAMPMENT /OUTSIDE,ALAMEDA AV&FRUITVALE AV,"November, 19 2020",FOF201119079894
ENCAMPMENT /OUTSIDE,7200 SAN LEANDRO ST,"November, 19 2020",FOF201119079922
ENCAMPMENT /OUTSIDE,34TH ST&WOOD ST,"November, 19 2020",FOF201119079926
ENCAMPMENT /OUTSIDE,23RD ST&MARTIN LUTHER KING JR WY,"November, 19 2020",FOF201119080009
ENCAMPMENT /OUTSIDE,GRAND AV&HARRISON ST,"November, 19 2020",FOF201119080021
ENCAMPMENT /OUTSIDE,E 12TH ST&46TH AV,"November, 19 2020",FOF201119080097
ENCAMPMENT /OUTSIDE,1900 E 12TH ST,"November, 20 2020",FOF201120080323
ENCAMPMENT /OUTSIDE,5TH ST&MANDELA PKWY,"November, 21 2020",FOF201121080365
ENCAMPMENT /OUTSIDE,34TH ST&SAN PABLO AV,"November, 21 2020",FOF201121080476
ENCAMPMENT /OUTSIDE,1608 26TH ST,"November, 23 2020",FOF201123080949
ENCAMPMENT /OUTSIDE,7TH ST&BRUSH ST,"November, 23 2020",FOF201123080974
ENCAMPMENT /OUTSIDE,NB HIGH OFFRP ST&NB I880,"November, 24 2020",FOF201124080995
ENCAMPMENT /OUTSIDE,E 12TH ST&23RD AV,"November, 24 2020",FOF201124081064
ENCAMPMENT /OUTSIDE,E 12TH ST&17TH AV,"November, 24 2020",FOF201124081235
ENCAMPMENT /OUTSIDE,BROADWAY&NB I880,"November, 24 2020",FOF201124081236
ENCAMPMENT /OUTSIDE,66TH AV&SAN LEANDRO ST,"November, 24 2020",FOF201124081238
ENCAMPMENT /OUTSIDE,54TH AV&SAN LEANDRO ST,"November, 25 2020",FOF201125081324
ENCAMPMENT /OUTSIDE,47TH AV&SAN LEANDRO ST,"November, 25 2020",FOF201125081337
ENCAMPMENT /OUTSIDE,22ND ST&BRUSH ST,"November, 25 2020",FOF201125081407
ENCAMPMENT /OUTSIDE,HIGH ST&JENSEN ST,"November, 25 2020",FOF201125081420
ENCAMPMENT /OUTSIDE,HEGENBERGER OFFRP&SAN LEANDRO ST,"November, 26 2020",FOF201126081583
ENCAMPMENT /OUTSIDE,7TH ST&BRUSH ST,"November, 27 2020",FOF201127081702
ENCAMPMENT /OUTSIDE,6TH ST&BRUSH ST,"November, 27 2020",FOF201127081741
ENCAMPMENT /OUTSIDE,23RD ST&HARRISON ST,"November, 27 2020",FOF201127081871
ENCAMPMENT /OUTSIDE,22ND ST&BRUSH ST,"November, 28 2020",FOF201128081916
ENCAMPMENT /OUTSIDE,23RD ST&BRUSH ST,"November, 28 2020",FOF201128081950
ENCAMPMENT /OUTSIDE,7TH ST&BROADWAY,"November, 29 2020",FOF201129082286
ENCAMPMENT /OUTSIDE,3800 MANILA AV,"November, 29 2020",FOF201129082294
ENCAMPMENT /OUTSIDE,3601 TELEGRAPH AV,"November, 30 2020",FOF201130082404
ENCAMPMENT /OUTSIDE,NORTHGATE AV&SYCAMORE ST,"November, 30 2020",FOF201130082486
ENCAMPMENT /OUTSIDE,34TH ST&BROADWAY,"November, 30 2020",FOF201130082554
ENCAMPMENT /OUTSIDE,5TH ST&BROADWAY,"December, 1 2020",FOF201201082673
ENCAMPMENT /OUTSIDE,98TH AV&SAN LEANDRO ST,"December, 4 2020",FOF201204083413
ENCAMPMENT /OUTSIDE,34TH ST&ANDOVER ST,"December, 4 2020",FOF201204083425
ENCAMPMENT /OUTSIDE,24TH ST&NORTHGATE AV,"December, 5 2020",FOF201205083637
